"id_ventil_task","id_agent","id_agent_creation","date_creation","type_chaine_paie","id_type_pointage","id_ventil_date_from","id_ventil_date_to","date_ventilation","task_status","version"
"183","9003384","9003742","2015-07-02T10:13:30.036","SHC","NULL","2","4","2015-07-02T10:15:35.643","OK","0"
"184","9003294","9003742","2015-07-02T10:13:30.059","SHC","NULL","2","4","2015-07-02T10:15:36.810","OK","0"
"185","9003514","9003742","2015-07-02T10:13:30.065","SHC","NULL","2","4","2015-07-02T10:15:37.023","OK","0"
"186","9003375","9003742","2015-07-02T10:13:30.069","SHC","NULL","2","4","2015-07-02T10:15:38.796","OK","0"
"187","9004378","9003742","2015-07-02T10:13:30.073","SHC","NULL","2","4","2015-07-02T10:15:41.720","OK","0"
"188","9005316","9003742","2015-07-02T10:13:30.076","SHC","NULL","2","4","2015-07-02T10:15:43.396","OK","0"
"189","9003778","9003742","2015-07-02T10:13:30.085","SHC","NULL","2","4","2015-07-02T10:15:44.633","OK","0"
"190","9005313","9003742","2015-07-02T10:13:30.091","SHC","NULL","2","4","2015-07-02T10:15:45.577","OK","0"
"191","9003381","9003742","2015-07-02T10:13:30.094","SHC","NULL","2","4","2015-07-02T10:15:47.389","OK","0"
"192","9004379","9003742","2015-07-02T10:13:30.103","SHC","NULL","2","4","2015-07-02T10:15:48.361","OK","0"
"193","9003385","9003742","2015-07-02T10:13:30.109","SHC","NULL","2","4","2015-07-02T10:15:49.807","OK","0"
"194","9005179","9003742","2015-07-02T10:13:30.114","SHC","NULL","2","4","2015-07-02T10:15:50.355","OK","0"
"195","9003719","9003742","2015-07-02T10:13:30.117","SHC","NULL","2","4","2015-07-02T10:15:51.643","OK","0"
"196","9005042","9003742","2015-07-02T10:13:30.120","SHC","NULL","2","4","2015-07-02T10:15:53.339","OK","0"
"197","9003792","9003742","2015-07-02T10:13:30.123","SHC","NULL","2","4","2015-07-02T10:15:55.293","OK","0"
"198","9005311","9003742","2015-07-02T10:13:30.126","SHC","NULL","2","4","2015-07-02T10:15:56.934","OK","0"
"199","9004226","9003742","2015-07-02T10:13:30.129","SHC","NULL","2","4","2015-07-02T10:15:58.247","OK","0"
"200","9005044","9003742","2015-07-02T10:13:30.132","SHC","NULL","2","4","2015-07-02T10:15:58.976","OK","0"
"201","9004229","9003742","2015-07-02T10:13:30.134","SHC","NULL","2","4","2015-07-02T10:16:01.334","OK","0"
"202","9004685","9003742","2015-07-02T10:13:30.138","SHC","NULL","2","4","2015-07-02T10:16:02.217","OK","0"
"203","9003392","9003742","2015-07-02T10:13:30.142","SHC","NULL","2","4","2015-07-02T10:16:03.692","OK","0"
"204","9003388","9003742","2015-07-02T10:13:30.144","SHC","NULL","2","4","2015-07-02T10:16:05.990","OK","0"
"205","9005310","9003742","2015-07-02T10:13:30.146","SHC","NULL","2","4","2015-07-02T10:16:07.452","OK","0"
"206","9003973","9003742","2015-07-02T10:13:30.148","SHC","NULL","2","4","2015-07-02T10:16:08.053","OK","0"
"207","9003400","9003742","2015-07-02T10:13:30.154","SHC","NULL","2","4","2015-07-02T10:16:10.270","OK","0"
"208","9003982","9003742","2015-07-02T10:13:30.156","SHC","NULL","2","4","2015-07-02T10:16:11.553","OK","0"
"209","9003376","9003742","2015-07-02T10:13:30.158","SHC","NULL","2","4","2015-07-02T10:16:12.395","OK","0"
"210","9003374","9003742","2015-07-02T10:13:30.160","SHC","NULL","2","4","2015-07-02T10:16:13.293","OK","0"
"211","9003253","9003742","2015-07-02T10:13:30.163","SHC","NULL","2","4","2015-07-02T10:16:14.391","OK","0"
"212","9003718","9003742","2015-07-02T10:13:30.166","SHC","NULL","2","4","2015-07-02T10:16:15.829","OK","0"
"213","9002939","9003742","2015-07-02T10:13:30.169","SHC","NULL","2","4","2015-07-02T10:16:16.513","OK","0"
"214","9003525","9003742","2015-07-02T10:13:30.172","SHC","NULL","2","4","2015-07-02T10:16:18.248","OK","0"
"215","9003796","9003742","2015-07-02T10:13:30.174","SHC","NULL","2","4","2015-07-02T10:16:19.503","OK","0"
"216","9003382","9003742","2015-07-02T10:13:30.176","SHC","NULL","2","4","2015-07-02T10:16:21.249","OK","0"
"217","9004980","9003742","2015-07-02T10:13:30.182","SHC","NULL","2","4","2015-07-02T10:16:22.931","OK","0"
