"id_droits_agent","id_agent","code_service","libelle_service","date_modification","version","id_service_ads"
"5422","9005076","EBCD","DB Subdivision du Patrimoine Administratif et de Proximité","2015-06-18T14:46:45.123","5","NULL"
"5424","9004937","EBCD","DB Subdivision du Patrimoine Administratif et de Proximité","2015-06-18T14:46:45.258","5","NULL"
"5427","9004490","EBCD","DB Subdivision du Patrimoine Administratif et de Proximité","2015-06-18T14:46:45.465","5","NULL"
"5429","9002418","EBCD","DB Subdivision du Patrimoine Administratif et de Proximité","2015-06-18T14:46:45.591","5","NULL"
"5200","9005660","DCAA","Direction des Systèmes d'Information","2015-06-02T16:02:18.160","8","NULL"
"5201","9004968","DDAA","Direction des Ressources Humaines","2015-06-02T16:02:18.224","7","NULL"
"5431","9005306","EBCD","DB Subdivision du Patrimoine Administratif et de Proximité","2015-06-18T14:46:45.706","5","NULL"
"5554","9003574","DEDB","SVS Section Personnel des Ecoles","2015-06-23T15:35:49.395","2","NULL"
"5555","9003169","DEAC","DASP Pôle de Services Publics","2015-06-23T15:35:58.311","2","NULL"
"5432","9005344","EBCD","DB Subdivision du Patrimoine Administratif et de Proximité","2015-06-18T14:46:45.774","5","NULL"
"5160","9005705","EBCF","DB Marché Municipal","2015-06-01T09:56:39.091","5","NULL"
"5199","9003327","DBAA","Direction des Finances","2015-06-02T16:02:18.105","10","NULL"
"5403","9004688","EBCC","DB Subdivision du Patrimoine Scolaire et Sportif","2015-06-18T14:46:43.898","5","NULL"
"5423","9004765","EBCC","DB Subdivision du Patrimoine Scolaire et Sportif","2015-06-18T14:46:45.185","5","NULL"
"5405","9004866","EBCC","DB Subdivision du Patrimoine Scolaire et Sportif","2015-06-18T14:46:44.018","5","NULL"
"5406","9004855","EBCC","DB Subdivision du Patrimoine Scolaire et Sportif","2015-06-18T14:46:44.079","5","NULL"
"5407","9004341","EBCC","DB Subdivision du Patrimoine Scolaire et Sportif","2015-06-18T14:46:44.142","5","NULL"
