"id_pointage","id_agent","id_type_pointage","date_lundi","date_debut","date_fin","quantite","id_pointage_parent","id_ref_prime","is_hsup_recuperee","id_comment_motif","id_comment_commentaire","version","id_ref_type_absence","is_hsup_rappel_service","id_motif_hsup"
"6450","9003126","3","2015-07-20T00:00:00.000","2015-07-21T00:00:00.000","NULL","480","NULL","26","NULL","NULL","NULL","1","NULL","NULL","NULL"
"6497","9004190","3","2015-07-13T00:00:00.000","2015-07-17T00:00:00.000","NULL","420","NULL","26","NULL","NULL","NULL","1","NULL","NULL","NULL"
"6496","9004190","3","2015-07-13T00:00:00.000","2015-07-16T00:00:00.000","NULL","480","NULL","26","NULL","NULL","NULL","1","NULL","NULL","NULL"
"6495","9004190","3","2015-07-13T00:00:00.000","2015-07-15T00:00:00.000","NULL","480","NULL","26","NULL","NULL","NULL","1","NULL","NULL","NULL"
"6478","9003133","3","2015-07-20T00:00:00.000","2015-07-24T00:00:00.000","NULL","420","NULL","26","NULL","NULL","NULL","1","NULL","NULL","NULL"
"6477","9003133","3","2015-07-20T00:00:00.000","2015-07-23T00:00:00.000","NULL","480","NULL","26","NULL","NULL","NULL","1","NULL","NULL","NULL"
"6476","9003133","3","2015-07-20T00:00:00.000","2015-07-22T00:00:00.000","NULL","480","NULL","26","NULL","NULL","NULL","1","NULL","NULL","NULL"
"6475","9003133","3","2015-07-20T00:00:00.000","2015-07-21T00:00:00.000","NULL","480","NULL","26","NULL","NULL","NULL","1","NULL","NULL","NULL"
"6474","9003133","3","2015-07-20T00:00:00.000","2015-07-20T00:00:00.000","NULL","480","NULL","26","NULL","NULL","NULL","1","NULL","NULL","NULL"
"6392","9004037","3","2015-07-13T00:00:00.000","2015-07-17T00:00:00.000","NULL","240","NULL","26","NULL","NULL","NULL","2","NULL","NULL","NULL"
"6391","9004037","3","2015-07-13T00:00:00.000","2015-07-16T00:00:00.000","NULL","240","NULL","26","NULL","NULL","NULL","2","NULL","NULL","NULL"
"6390","9004037","3","2015-07-13T00:00:00.000","2015-07-15T00:00:00.000","NULL","240","NULL","26","NULL","NULL","NULL","2","NULL","NULL","NULL"
