"id_droits_agent","id_agent","code_service","libelle_service","date_modification","version"
"4712","9005460","EABD","SCAF Section Proximité Intervention","2015-03-13T14:09:03.516","0"
"4713","9003257","EABE","SCAF Section Administration et Comptable","2015-03-13T14:09:03.516","0"
"4714","9003631","EABE","SCAF Section Administration et Comptable","2015-03-13T14:09:03.516","0"
"4715","9005085","EABE","SCAF Section Administration et Comptable","2015-03-13T14:09:03.516","0"
"4717","9003933","EABE","SCAF Section Administration et Comptable","2015-03-13T14:09:03.516","0"
"4718","9004120","EABE","SCAF Section Administration et Comptable","2015-03-13T14:09:03.516","0"
"4719","9004193","EBAA","Direction du Génie Urbain et des Infrastructures","2015-03-13T14:09:03.516","0"
"4720","9003066","EBAA","Direction du Génie Urbain et des Infrastructures","2015-03-13T14:09:03.516","0"
"4721","9003256","EBCA","DGUI Division Bâtiment","2015-03-13T14:09:03.516","0"
"4722","9004895","EBCB","DB Section Administrative et Comptable","2015-03-13T14:09:03.516","0"
"4723","9005128","EBCB","DB Section Administrative et Comptable","2015-03-13T14:09:03.516","0"
"4724","9003845","EBCB","DB Section Administrative et Comptable","2015-03-13T14:09:03.516","0"
"4725","9003556","EBCC","DB Subdivision du Patrimoine Scolaire et Sportif","2015-03-13T14:09:03.516","0"
"4726","9003788","EBCC","DB Subdivision du Patrimoine Scolaire et Sportif","2015-03-13T14:09:03.516","0"
"4727","9005500","EBCC","DB Subdivision du Patrimoine Scolaire et Sportif","2015-03-13T14:09:03.516","0"
"4728","9004765","EBCC","DB Subdivision du Patrimoine Scolaire et Sportif","2015-03-13T14:09:03.517","0"
"4729","9004688","EBCC","DB Subdivision du Patrimoine Scolaire et Sportif","2015-03-13T14:09:03.517","0"
"4730","9002339","EBCC","DB Subdivision du Patrimoine Scolaire et Sportif","2015-03-13T14:09:03.517","0"
"4731","9002226","EBCC","DB Subdivision du Patrimoine Scolaire et Sportif","2015-03-13T14:09:03.517","0"
"4732","9004243","EBCC","DB Subdivision du Patrimoine Scolaire et Sportif","2015-03-13T14:09:03.517","0"
"4733","9004341","EBCC","DB Subdivision du Patrimoine Scolaire et Sportif","2015-03-13T14:09:03.517","0"
"4734","9002142","EBCC","DB Subdivision du Patrimoine Scolaire et Sportif","2015-03-13T14:09:03.517","0"
"4735","9004708","EBCC","DB Subdivision du Patrimoine Scolaire et Sportif","2015-03-13T14:09:03.517","0"
