"id_pointage_calcule","id_agent","date_lundi","date_debut","date_fin","quantite","id_ref_type_pointage","id_ref_prime","etat","id_ventil_date","version"
"10498","9005316","2015-07-06T00:00:00.000","2015-07-08T00:00:00.000","NULL","1","3","6","9","8","3"
"10499","9005316","2015-07-13T00:00:00.000","2015-07-14T00:00:00.000","NULL","480","3","1","9","8","3"
"10500","9005316","2015-07-13T00:00:00.000","2015-07-18T00:00:00.000","NULL","480","3","1","9","8","3"
"10501","9005316","2015-07-13T00:00:00.000","2015-07-14T00:00:00.000","NULL","510","3","4","9","8","3"
"10502","9005316","2015-07-13T00:00:00.000","2015-07-18T00:00:00.000","NULL","1","3","6","9","8","3"
"10503","9005316","2015-07-13T00:00:00.000","2015-07-17T00:00:00.000","NULL","1","3","6","9","8","3"
"10504","9005316","2015-07-13T00:00:00.000","2015-07-16T00:00:00.000","NULL","1","3","6","9","8","3"
"10506","9005316","2015-07-27T00:00:00.000","2015-07-31T00:00:00.000","NULL","480","3","1","9","8","3"
"10511","9005316","2015-07-27T00:00:00.000","2015-07-28T00:00:00.000","NULL","1","3","6","9","8","3"
"10512","9005316","2015-07-27T00:00:00.000","2015-07-27T00:00:00.000","NULL","1","3","6","9","8","3"
"10505","9005316","2015-07-27T00:00:00.000","2015-08-01T00:00:00.000","NULL","60","3","1","9","8","3"
"10508","9005316","2015-07-27T00:00:00.000","2015-08-02T00:00:00.000","NULL","480","3","4","9","8","3"
"9556","9004996","2015-07-06T00:00:00.000","2015-07-11T00:00:00.000","NULL","360","3","1","9","8","3"
"9557","9004996","2015-07-06T00:00:00.000","2015-07-10T00:00:00.000","NULL","480","3","1","9","8","3"
"9558","9004996","2015-07-13T00:00:00.000","2015-07-15T00:00:00.000","NULL","480","3","1","9","8","3"
"9559","9004996","2015-07-13T00:00:00.000","2015-07-18T00:00:00.000","NULL","480","3","1","9","8","3"
"9560","9004996","2015-07-13T00:00:00.000","2015-07-14T00:00:00.000","NULL","480","3","4","9","8","3"
"9561","9004996","2015-07-13T00:00:00.000","2015-07-13T00:00:00.000","NULL","480","3","4","9","8","3"
"9562","9004996","2015-07-13T00:00:00.000","2015-07-19T00:00:00.000","NULL","480","3","4","9","8","3"
"9563","9004996","2015-07-13T00:00:00.000","2015-07-14T00:00:00.000","NULL","1","3","6","9","8","3"
"9564","9004996","2015-07-13T00:00:00.000","2015-07-13T00:00:00.000","NULL","1","3","6","9","8","3"
"10509","9005316","2015-07-27T00:00:00.000","2015-08-02T00:00:00.000","NULL","1","3","6","9","8","3"
"10510","9005316","2015-07-27T00:00:00.000","2015-08-01T00:00:00.000","NULL","1","3","6","9","8","3"
"10513","9005316","2015-08-03T00:00:00.000","2015-08-05T00:00:00.000","NULL","480","3","1","9","8","3"
"6801","9003368","2015-07-06T00:00:00.000","2015-07-08T00:00:00.000","NULL","1","3","6","9","8","6"
"6805","9003368","2015-07-13T00:00:00.000","2015-07-17T00:00:00.000","NULL","1","3","6","9","8","6"
"6800","9003368","2015-07-06T00:00:00.000","2015-07-09T00:00:00.000","NULL","120","3","1","9","8","6"
"6803","9003368","2015-07-06T00:00:00.000","2015-07-06T00:00:00.000","NULL","1","3","6","9","8","6"
"6802","9003368","2015-07-06T00:00:00.000","2015-07-07T00:00:00.000","NULL","1","3","6","9","8","6"
"6804","9003368","2015-07-13T00:00:00.000","2015-07-14T00:00:00.000","NULL","300","3","4","9","8","6"
"6828","9003973","2015-07-13T00:00:00.000","2015-07-14T00:00:00.000","NULL","300","3","4","9","8","6"
"6827","9003973","2015-07-06T00:00:00.000","2015-07-08T00:00:00.000","NULL","120","3","1","9","8","6"
"6829","9003973","2015-07-13T00:00:00.000","2015-07-15T00:00:00.000","NULL","1","3","6","9","8","6"
"9565","9004996","2015-07-13T00:00:00.000","2015-07-19T00:00:00.000","NULL","1","3","6","9","8","3"
"9566","9004996","2015-07-13T00:00:00.000","2015-07-17T00:00:00.000","NULL","1","3","6","9","8","3"
"9568","9004996","2015-07-27T00:00:00.000","2015-07-30T00:00:00.000","NULL","480","3","1","9","8","3"
"9571","9004996","2015-07-27T00:00:00.000","2015-07-29T00:00:00.000","NULL","1","3","6","9","8","3"
"17667","9003162","2015-10-26T00:00:00.000","2015-10-31T00:00:00.000","NULL","480","3","1","9","14","3"
"7743","9003399","2015-06-29T00:00:00.000","2015-07-01T00:00:00.000","NULL","1","3","6","9","8","6"
"6639","9003399","2015-07-20T00:00:00.000","2015-07-22T00:00:00.000","NULL","480","3","1","9","8","8"
"7742","9003399","2015-06-29T00:00:00.000","2015-07-02T00:00:00.000","NULL","480","3","1","9","8","6"
"6640","9003399","2015-07-20T00:00:00.000","2015-07-21T00:00:00.000","NULL","1","3","6","9","8","8"
"7904","9004799","2015-06-29T00:00:00.000","2015-07-01T00:00:00.000","NULL","1","3","6","9","8","6"
"7903","9004799","2015-06-29T00:00:00.000","2015-07-05T00:00:00.000","NULL","1","3","6","9","8","6"
"7902","9004799","2015-06-29T00:00:00.000","2015-07-05T00:00:00.000","NULL","480","3","4","9","8","6"
"7816","9004378","2015-06-29T00:00:00.000","2015-07-03T00:00:00.000","NULL","1","3","6","9","8","6"
"7353","9004378","2015-07-06T00:00:00.000","2015-07-09T00:00:00.000","NULL","240","3","1","9","8","8"
"7814","9004378","2015-06-29T00:00:00.000","2015-07-02T00:00:00.000","NULL","240","3","1","9","8","6"
"7356","9004378","2015-07-06T00:00:00.000","2015-07-10T00:00:00.000","NULL","1","3","6","9","8","8"
"7815","9004378","2015-06-29T00:00:00.000","2015-07-03T00:00:00.000","NULL","240","3","1","9","8","6"
"10507","9005316","2015-07-27T00:00:00.000","2015-07-29T00:00:00.000","NULL","480","3","1","9","8","3"
"10514","9005316","2015-08-03T00:00:00.000","2015-08-08T00:00:00.000","NULL","360","3","1","9","8","3"
"10515","9005316","2015-08-03T00:00:00.000","2015-08-05T00:00:00.000","NULL","1","3","6","9","8","3"
"10516","9005316","2015-08-10T00:00:00.000","2015-08-14T00:00:00.000","NULL","360","3","1","9","8","3"
"10517","9005316","2015-08-10T00:00:00.000","2015-08-13T00:00:00.000","NULL","480","3","1","9","8","3"
"10518","9005316","2015-08-10T00:00:00.000","2015-08-16T00:00:00.000","NULL","480","3","4","9","8","3"
"10519","9005316","2015-08-10T00:00:00.000","2015-08-16T00:00:00.000","NULL","1","3","6","9","8","3"
"10520","9005316","2015-08-10T00:00:00.000","2015-08-12T00:00:00.000","NULL","1","3","6","9","8","3"
"10521","9005316","2015-08-10T00:00:00.000","2015-08-11T00:00:00.000","NULL","1","3","6","9","8","3"
"10522","9005316","2015-08-17T00:00:00.000","2015-08-23T00:00:00.000","NULL","480","3","1","9","8","3"
"10523","9005316","2015-08-17T00:00:00.000","2015-08-18T00:00:00.000","NULL","480","3","1","9","8","3"
"7338","9005316","2015-07-20T00:00:00.000","2015-07-25T00:00:00.000","NULL","480","3","1","9","8","6"
"10524","9005316","2015-08-17T00:00:00.000","2015-08-23T00:00:00.000","NULL","480","3","4","9","8","3"
"10525","9005316","2015-08-17T00:00:00.000","2015-08-22T00:00:00.000","NULL","1","3","6","9","8","3"
"7365","9002252","2015-07-13T00:00:00.000","2015-07-14T00:00:00.000","NULL","300","3","4","9","8","6"
"7364","9002252","2015-07-06T00:00:00.000","2015-07-08T00:00:00.000","NULL","120","3","1","9","8","6"
"10528","9002252","2015-08-03T00:00:00.000","2015-08-07T00:00:00.000","NULL","1","3","6","9","8","3"
"10529","9002252","2015-08-03T00:00:00.000","2015-08-05T00:00:00.000","NULL","1","3","6","9","8","3"
"10530","9002252","2015-08-17T00:00:00.000","2015-08-23T00:00:00.000","NULL","540","3","4","9","8","3"
"7732","9005312","2015-06-29T00:00:00.000","2015-07-02T00:00:00.000","NULL","60","3","1","9","8","6"
"7733","9005312","2015-06-29T00:00:00.000","2015-07-01T00:00:00.000","NULL","480","3","1","9","8","6"
"7734","9005312","2015-06-29T00:00:00.000","2015-07-04T00:00:00.000","NULL","360","3","1","9","8","6"
"6843","9003376","2015-07-20T00:00:00.000","2015-07-24T00:00:00.000","NULL","480","3","1","9","8","6"
"6842","9003376","2015-07-20T00:00:00.000","2015-07-25T00:00:00.000","NULL","360","3","1","9","8","6"
"17668","9003162","2015-10-26T00:00:00.000","2015-10-26T00:00:00.000","NULL","480","3","1","9","14","3"
"20969","9003146","2015-12-21T00:00:00.000","2015-12-26T00:00:00.000","NULL","480","3","4","9","16","2"
"13838","9003507","2015-09-28T00:00:00.000","2015-10-04T00:00:00.000","NULL","1","3","6","9","12","3"
"13841","9003507","2015-10-05T00:00:00.000","2015-10-10T00:00:00.000","NULL","480","3","1","9","12","3"
"17669","9003162","2015-10-26T00:00:00.000","2015-10-30T00:00:00.000","NULL","1","3","6","9","14","3"
"17670","9003162","2015-10-26T00:00:00.000","2015-10-29T00:00:00.000","NULL","1","3","6","9","14","3"
"14114","9005310","2015-09-28T00:00:00.000","2015-10-02T00:00:00.000","NULL","480","3","1","9","14","6"
"14126","9005310","2015-10-19T00:00:00.000","2015-10-24T00:00:00.000","NULL","360","3","1","9","14","6"
"6940","9004799","2015-07-06T00:00:00.000","2015-07-07T00:00:00.000","NULL","480","3","1","9","8","8"
"6945","9004799","2015-07-20T00:00:00.000","2015-07-22T00:00:00.000","NULL","480","3","1","9","8","8"
"6941","9004799","2015-07-06T00:00:00.000","2015-07-06T00:00:00.000","NULL","1","3","6","9","8","8"
"7340","9005316","2015-07-20T00:00:00.000","2015-07-23T00:00:00.000","NULL","1","3","6","9","8","6"
"7328","9005316","2015-06-29T00:00:00.000","2015-07-04T00:00:00.000","NULL","360","3","1","9","8","6"
"7341","9005316","2015-07-20T00:00:00.000","2015-07-22T00:00:00.000","NULL","1","3","6","9","8","6"
"7327","9005316","2015-06-29T00:00:00.000","2015-07-01T00:00:00.000","NULL","480","3","1","9","8","6"
"7329","9005316","2015-06-29T00:00:00.000","2015-07-03T00:00:00.000","NULL","1","3","6","9","8","6"
"7339","9005316","2015-07-20T00:00:00.000","2015-07-24T00:00:00.000","NULL","360","3","1","9","8","6"
"7330","9005316","2015-06-29T00:00:00.000","2015-07-02T00:00:00.000","NULL","1","3","6","9","8","6"
"10531","9002252","2015-08-17T00:00:00.000","2015-08-23T00:00:00.000","NULL","1","3","6","9","8","3"
"10532","9002252","2015-08-24T00:00:00.000","2015-08-26T00:00:00.000","NULL","1","3","6","9","8","3"
"9587","9003398","2015-07-27T00:00:00.000","2015-07-30T00:00:00.000","NULL","480","3","1","9","8","3"
"9588","9003398","2015-07-27T00:00:00.000","2015-07-31T00:00:00.000","NULL","360","3","1","9","8","3"
"9589","9003398","2015-07-27T00:00:00.000","2015-07-28T00:00:00.000","NULL","1","3","6","9","8","3"
"6606","9003398","2015-07-13T00:00:00.000","2015-07-19T00:00:00.000","NULL","1","3","6","9","8","8"
