"id_pointage","id_agent","id_type_pointage","date_lundi","date_debut","date_fin","quantite","id_pointage_parent","id_ref_prime","is_hsup_recuperee","id_comment_motif","id_comment_commentaire","version","id_ref_type_absence"
"37","9004430","1","2014-04-28T00:00:00.000","2014-05-01T07:15:00.000","2014-05-01T15:00:00.000","NULL","NULL","NULL","NULL","35","NULL","0","2"
"38","9004430","1","2014-04-28T00:00:00.000","2014-05-02T07:15:00.000","2014-05-02T15:00:00.000","NULL","NULL","NULL","NULL","36","NULL","0","2"
"44","9004430","1","2014-05-12T00:00:00.000","2014-05-12T07:15:00.000","2014-05-12T15:00:00.000","NULL","NULL","NULL","NULL","42","NULL","0","2"
"45","9004430","1","2014-05-12T00:00:00.000","2014-05-13T07:15:00.000","2014-05-13T15:00:00.000","NULL","NULL","NULL","NULL","43","NULL","0","2"
"46","9004430","1","2014-05-12T00:00:00.000","2014-05-14T07:15:00.000","2014-05-14T15:00:00.000","NULL","NULL","NULL","NULL","44","NULL","0","2"
"47","9004430","1","2014-05-12T00:00:00.000","2014-05-15T07:15:00.000","2014-05-15T15:00:00.000","NULL","NULL","NULL","NULL","45","NULL","0","2"
"48","9004430","1","2014-05-12T00:00:00.000","2014-05-16T07:15:00.000","2014-05-16T15:00:00.000","NULL","NULL","NULL","NULL","46","NULL","0","2"
"49","9004473","1","2014-05-12T00:00:00.000","2014-05-12T07:15:00.000","2014-05-12T15:30:00.000","NULL","NULL","NULL","NULL","47","NULL","0","1"
"50","9004473","1","2014-05-12T00:00:00.000","2014-05-13T07:15:00.000","2014-05-13T15:30:00.000","NULL","NULL","NULL","NULL","48","NULL","0","1"
"51","9004473","1","2014-05-12T00:00:00.000","2014-05-14T12:00:00.000","2014-05-14T15:30:00.000","NULL","NULL","NULL","NULL","49","NULL","0","1"
"52","9004522","1","2014-05-12T00:00:00.000","2014-05-12T07:15:00.000","2014-05-12T15:30:00.000","NULL","NULL","NULL","NULL","50","NULL","0","2"
"53","9004522","1","2014-05-12T00:00:00.000","2014-05-13T07:15:00.000","2014-05-13T15:30:00.000","NULL","NULL","NULL","NULL","51","NULL","0","2"
"54","9004522","1","2014-05-12T00:00:00.000","2014-05-15T07:15:00.000","2014-05-15T11:30:00.000","NULL","NULL","NULL","NULL","52","NULL","0","1"
"55","9004472","1","2014-05-12T00:00:00.000","2014-05-13T15:00:00.000","2014-05-13T15:30:00.000","NULL","NULL","NULL","NULL","53","NULL","0","1"
"56","9004280","1","2014-05-12T00:00:00.000","2014-05-13T12:00:00.000","2014-05-13T15:30:00.000","NULL","NULL","NULL","NULL","54","NULL","0","1"
"58","9004280","1","2014-05-12T00:00:00.000","2014-05-15T07:15:00.000","2014-05-15T11:30:00.000","NULL","NULL","NULL","NULL","56","NULL","0","1"
"59","9004173","2","2014-05-12T00:00:00.000","2014-05-12T04:45:00.000","2014-05-12T07:15:00.000","NULL","NULL","NULL","true","57","NULL","0","NULL"
"60","9003578","2","2014-05-12T00:00:00.000","2014-05-12T17:15:00.000","2014-05-12T19:30:00.000","NULL","NULL","NULL","false","58","NULL","0","NULL"
"61","9003578","2","2014-05-12T00:00:00.000","2014-05-13T17:15:00.000","2014-05-13T19:30:00.000","NULL","NULL","NULL","false","59","NULL","0","NULL"
"62","9003408","1","2014-05-12T00:00:00.000","2014-05-14T07:15:00.000","2014-05-14T15:30:00.000","NULL","NULL","NULL","NULL","60","NULL","0","2"
"63","9003305","2","2014-05-12T00:00:00.000","2014-05-12T04:45:00.000","2014-05-12T07:15:00.000","NULL","NULL","NULL","true","61","NULL","0","NULL"
